site,transect,percent.cover,mortality
BI4,BI4-A,0,Before
BI4,BI4-B,0,Before
BI4,BI4-C,0,Before
BI4,BI4-D,0,Before
BI6,BI6-A,3,Before
BI6,BI6-B,8.536842105,Before
BI6,BI6-C,0.064516129,Before
BI6,BI6-D,1.876712329,Before
BICN1,BICN1-A,0,Before
BICN1,BICN1-B,0,Before
BICN1,BICN1-C,0,Before
BICN1,BICN1-D,0,Before
BICN3,BICN3-A,0,Before
BICN3,BICN3-B,6.533333333,Before
BICN3,BICN3-C,0,Before
BICN3,BICN3-D,2.647058824,Before
LB2,LB2-A,0,Before
LB2,LB2-B,0,Before
LB2,LB2-C,0,Before
LB2,LB2-D,0,Before
LB5,LB5-A,0,Before
LB5,LB5-B,6.727272727,Before
LB5,LB5-C,0,Before
LB5,LB5-D,0,Before
LBCN2,LBCN2-A,0,Before
LBCN2,LBCN2-B,0,Before
LBCN2,LBCN2-C,0,Before
LBCN2,LBCN2-D,0,Before
LBCN3,LBCN3-A,0.176470588,Before
LBCN3,LBCN3-B,15.75,Before
LBCN3,LBCN3-C,0,Before
LBCN3,LBCN3-D,4.92,Before
PASS1,PASS1-A,0,Before
PASS1,PASS1-B,0.169491525,Before
PASS1,PASS1-C,0,Before
PASS1,PASS1-D,0,Before
PASS3,PASS3-A,0.789473684,Before
PASS3,PASS3-B,0,Before
PASS3,PASS3-C,0,Before
PASS3,PASS3-D,0,Before
PASSCN22,PASSCN22-A,0,Before
PASSCN22,PASSCN22-B,0,Before
PASSCN22,PASSCN22-C,1.865384615,Before
PASSCN22,PASSCN22-D,0,Before
PASSCN24,PASSCN24-A,0,Before
PASSCN24,PASSCN24-B,0,Before
PASSCN24,PASSCN24-C,0.030927835,Before
PASSCN24,PASSCN24-D,0,Before
PR1,PR1-A,0,Before
PR1,PR1-B,0,Before
PR1,PR1-C,0,Before
PR1,PR1-D,0,Before
PR3,PR3-A,0.227272727,Before
PR3,PR3-B,5.878787879,Before
PR3,PR3-C,10.25,Before
PR3,PR3-D,58.19444444,Before
PRCN5,PRCN5-A,0,Before
PRCN5,PRCN5-B,0,Before
PRCN5,PRCN5-C,0,Before
PRCN5,PRCN5-D,0,Before
PRCN6,PRCN6-A,18.4516129,Before
PRCN6,PRCN6-B,39.58333333,Before
PRCN6,PRCN6-C,0.157894737,Before
PRCN6,PRCN6-D,0.5,Before
TWB1,TWB1-A,0,Before
TWB1,TWB1-B,10.4,Before
TWB1,TWB1-C,5.4,Before
TWB1,TWB1-D,11.25,Before
TWB2,TWB2-A,0,Before
TWB2,TWB2-B,43.93333333,Before
TWB2,TWB2-C,0,Before
TWB2,TWB2-D,0,Before
TWBCN2,TWBCN2-A,0,Before
TWBCN2,TWBCN2-B,9.733333333,Before
TWBCN2,TWBCN2-C,0.142857143,Before
TWBCN2,TWBCN2-D,0.266666667,Before
TWBCN3,TWBCN3-A,1.235294118,Before
TWBCN3,TWBCN3-B,26.75,Before
TWBCN3,TWBCN3-C,1.470588235,Before
TWBCN3,TWBCN3-D,0.238095238,Before
BI4,BI4-A,0.117647059,After
BI4,BI4-B,0.162162162,After
BI4,BI4-C,0,After
BI4,BI4-D,0,After
BI6,BI6-A,0,After
BI6,BI6-B,0,After
BI6,BI6-C,0,After
BI6,BI6-D,0,After
BICN1,BICN1-A,0,After
BICN1,BICN1-B,0,After
BICN1,BICN1-C,0.48,After
BICN1,BICN1-D,3.708333333,After
BICN3,BICN3-A,0,After
BICN3,BICN3-B,0,After
BICN3,BICN3-C,0,After
BICN3,BICN3-D,0,After
LB2,LB2-A,0,After
LB2,LB2-B,0.193548387,After
LB2,LB2-C,10.72727273,After
LB2,LB2-D,3.333333333,After
LB5,LB5-A,0,After
LB5,LB5-B,0,After
LB5,LB5-C,0,After
LB5,LB5-D,0,After
LBCN2,LBCN2-A,0,After
LBCN2,LBCN2-B,0,After
LBCN2,LBCN2-C,0,After
LBCN2,LBCN2-D,0.013513514,After
LBCN3,LBCN3-A,0,After
LBCN3,LBCN3-B,0,After
LBCN3,LBCN3-C,0,After
LBCN3,LBCN3-D,0,After
PASS1,PASS1-A,0,After
PASS1,PASS1-B,0,After
PASS1,PASS1-C,0,After
PASS1,PASS1-D,0,After
PASS3,PASS3-A,0,After
PASS3,PASS3-B,0,After
PASS3,PASS3-C,0,After
PASS3,PASS3-D,0,After
PASSCN22,PASSCN22-A,0,After
PASSCN22,PASSCN22-B,0,After
PASSCN22,PASSCN22-C,0.32,After
PASSCN22,PASSCN22-D,0,After
PASSCN24,PASSCN24-A,0,After
PASSCN24,PASSCN24-B,0,After
PASSCN24,PASSCN24-C,0,After
PASSCN24,PASSCN24-D,0,After
PR1,PR1-A,0,After
PR1,PR1-B,0,After
PR1,PR1-C,0,After
PR1,PR1-D,0,After
PR3,PR3-A,1.851851852,After
PR3,PR3-B,0,After
PR3,PR3-C,0,After
PR3,PR3-D,14.75757576,After
PRCN5,PRCN5-A,0,After
PRCN5,PRCN5-B,0,After
PRCN5,PRCN5-C,0,After
PRCN5,PRCN5-D,0.333333333,After
PRCN6,PRCN6-A,0,After
PRCN6,PRCN6-B,0,After
PRCN6,PRCN6-C,3.409090909,After
PRCN6,PRCN6-D,0,After
TWB1,TWB1-A,0,After
